章节或编码,中文名称
9C83.60,散开功能不足
9C83.61,散开麻痹
9C83.62,散开过度
9C83.63,协同散开
9C83.64,反向偏斜
9C83.65,眼偏斜反应
9C83.66,交替性反向偏斜
9C83.67,分离性垂直偏斜
9C83.6Y,其他特指的眼球运动发散或偏斜异常
9C83.6Z,眼球运动发散或偏斜异常，未特指的
9C83.Y,其他特指的双眼运动失调
9C83.Z,双眼运动失调，未特指的
9C84.0,生理性眼球震颤
9C84.1,先天性眼球震颤类型
9C84.20,下视性眼球震颤
9C84.21,上视性眼球震颤
9C84.22,旋转性眼球震颤
9C84.23,倒错性眼球震颤
9C84.2Y,其他特指的前庭性眼球震颤
9C84.2Z,前庭性眼球震颤，未特指的
9C84.3,跷跷板状眼球震颤
9C84.4,凝视诱发性眼球震颤
9C84.50,视觉剥夺性眼震
9C84.51,分离性眼球震颤
9C84.52,辐辏式回缩性眼球震颤
9C84.5Y,其他特指的起源于视觉系统疾患的眼球震颤
9C84.5Z,起源于视觉系统疾患的眼球震颤，未特指的
9C84.6,眼睑眼球震颤
9C84.Y,其他特指的眼球震颤
9C84.Z,眼球震颤，未特指的
9C85.00,扫视性脉冲障碍
9C85.01,扫视步骤紊乱
9C85.02,不适当扫视
9C85.0Y,其他特指的眼球扫视异常
9C85.0Z,眼球扫视异常，未特指的
9C85.1,追随运动异常
9C85.2,非器质性眼球运动异常
9C85.Y,其他特指的眼球不规律运动
9C85.Z,眼球不规律运动，未特指的
9C8Y,其他特指的斜视或眼球运动
9C8Z,斜视或眼球运动，未特指的
9D00.0,近视
9D00.1,远视
9D00.2,散光
9D00.3,老视
9D00.4,屈光参差
9D00.5,物像不等
9D00.6,一过性屈光改变
9D00.Y,其他特指的屈光异常
9D00.Z,屈光异常，非特指的
9D01.0,眼内肌麻痹
9D01.1,调节麻痹
9D01.2,调节痉挛
9D01.Y,其他特指的调节障碍
9D01.Z,调节障碍，未特指的
9D0Y,其他特指的屈光或调节障碍
9D0Z,屈光或调节障碍，非特指的
9D20,白内障术后的无晶状体大疱性角膜病变
9D21,白内障术后晶状体碎片残留
9D22,视网膜脱离术后脉络膜视网膜瘢痕
9D23,青光眼术后滤过泡炎
9D24,青光眼引流装置的并发症
9D25,眼部手术或激光导致的青光眼
9D40,视力损害
9D41,视野损害
9D42.0,视野缺损，非特定类型
9D42.1,正常视野
9D42.20,生理盲点扩大
9D42.21,弓形暗点
9D42.22,鼻侧阶梯
9D42.23,环形暗点
9D42.24,孤立周边视野暗点
9D42.2Y,其他特指的周边视野缺损
9D42.2Z,周边视野缺损，未特指的
9D42.3,偏盲或象限性视野缺损
9D42.4,中心暗点
9D42.5,旁中心暗点
9D42.60,右半视野同侧偏盲或象限盲
9D42.61,左半视野同向偏盲或象限性盲
9D42.6Y,其他特指的同向偏盲或象限性盲
9D42.6Z,同向偏盲或同向象限性盲，未特指的
9D42.70,双鼻侧偏盲或象限性盲
9D42.71,双颞侧偏盲或象限性盲
9D42.7Y,其他特指的异侧偏盲或象限性盲
9D42.7Z,异侧偏盲或象限性盲，未特指的
9D42.8,视野缺损，其它特定形式
9D42.Y,其他特指的视野缺损的模式
9D42.Z,视野缺损的模式，未特指的
9D43,视觉对比敏感度损害
9D44,色觉障碍
9D45,光敏度损害
9D46,双眼视功能损害
9D50,视物不适
9D51,一过性视力丧失
9D52,半侧视野缺损
9D53,内视现象
9D54,幻视
9D55,非器质性视力丧失
9D56,视觉释放幻觉
9D5Y,其他特指的主观视觉感受
9D5Z,主观视觉感受，未特指的
9D7Y,其他特指的视觉功能损害
9D7Z,视觉功能损害，未特指的
9D90.0,无视力损害
9D90.1,轻度视力损害
9D90.2,中度视力损害
9D90.3,严重视力损害
9D90.4,双眼盲
9D90.5,单眼盲
9D90.Y,其他特指的视力损害，包括盲
9D90.Z,视力损害，包括盲，未特指的
9D91,近视力障碍
9D92,特定的视觉功能障碍
9D93,复合型视觉功能相关障碍
9D9Y,其他特指的视力障碍
9D9Z,视力障碍，未特指的
9E1Y,其他特指的视觉系统疾病
9E1Z,视觉系统疾病，未特指的
AA00,外耳脓肿
AA01,外耳蜂窝织炎
AA02,恶性外耳炎
AA03,耳真菌病
AA04,外耳软骨膜炎
AA0Y,其他特指的外耳感染
AA0Z,耳廓感染，未特指的
AA10,外耳脂溢性皮炎
AA11,急性非感染性耳炎
AA12,结节性软骨皮炎
AA13,慢性外耳炎
AA1Y,其他特指的非感染性外耳炎症
AA1Z,外耳非感染性炎症，未特指的
AA3Z,外耳炎，未特指的
AA40.0,外耳道外生骨疣
AA40.1,获得性外耳道狭窄
AA40.2,外耳道胆脂瘤
AA40.Y,其他特指的获得性外耳道畸形
AA41.0,皱缩耳；菜花耳
AA41.Y,其他特指的获得性耳廓畸形
AA42,耵聍栓塞
AA4Y,其他特指的外耳非感染性疾患
AA4Z,外耳非感染性疾患，未特指的
AA6Z,耳廓疾病，未特指的
AA80,急性浆液性或粘液性中耳炎
AA81,急性非浆液性非化脓性中耳炎
AA82,慢性浆液性或粘液性中耳炎
AA83,非感染性渗出性中耳炎
AA8Z,非化脓性中耳炎，未特指的
AA90,急性化脓性中耳炎
AA91.0,慢性化脓性咽鼓管鼓室炎
AA91.1,慢性化脓性上鼓室鼓窦炎
AA91.2,其他慢性化脓性中耳炎
AA91.Z,慢性化脓性中耳炎，未特指的
AA9Y,其他特指的化脓性中耳炎
AA9Z,化脓性中耳炎，未特指的
AB00,急性中耳炎
AB01,慢性中耳炎
AB0Y,其他特指的中耳炎
AB0Z,中耳炎，未特指的
AB10.0,咽鼓管憩室
AB10.1,咽鼓管异常开放
AB10.2,咽鼓管炎
AB10.3,咽鼓管阻塞
AB10.Y,其他特指的咽鼓管疾患
AB10.Z,咽鼓管疾患，未特指的
AB11.0,急性乳突炎
AB11.1,慢性乳突炎
AB11.2,岩骨炎
AB11.3,乳突炎，不可归类在他处者
AB11.Y,其他特指的乳突炎或相关情况
AB11.Z,乳突炎或相关情况，未特指的
AB12,中耳胆脂瘤
AB13.0,鼓膜中央部穿孔
AB13.1,鼓膜松弛部穿孔
AB13.2,鼓膜边缘性穿孔
AB13.Y,其他特指的鼓膜穿孔
AB13.Z,鼓膜穿孔，未特指的
AB14,急性鼓膜炎
AB15,慢性鼓膜炎
AB16,鼓室硬化症
AB17,粘连性中耳疾病
AB18,听骨链中断或脱位
AB19,"获得性听骨链畸形,非中断或非脱位"
AB1A.0,耳息肉
AB1A.Y,其他特指的中耳息肉
AB1A.Z,中耳息肉，未特指的
AB1B,中耳瘢痕
AB1Y,其他特指的中耳或乳突疾病
AB1Z,中耳或乳突疾病，未特指的
AB30.0,前庭神经元炎
AB30.1,迷路炎
AB30.Y,其他特指的急性前庭综合征
AB30.Z,急性前庭综合征，未特指的
AB31.0,梅尼埃病
AB31.1,前庭型偏头痛
AB31.2,良性阵发性位置性眩晕
AB31.3,前半规管裂综合征
AB31.4,登岸综合征
AB31.5,自身免疫性内耳病
AB31.6,前庭阵发症
AB31.7,眩晕综合征
AB31.Y,其他特指的发作性前庭综合征
AB31.Z,发作性前庭综合征，未特指的
AB32.0,持续性体位感知性头晕
AB32.1,慢性单侧的特发性前庭病
AB32.2,前庭神经元炎后持续单侧前庭病
AB32.3,雪旺氏细胞瘤导致的单侧前庭病
AB32.4,医疗干预后单侧前庭病
AB32.5,慢性双侧前庭病
AB32.Y,其他特指的慢性前庭综合征
AB32.Z,慢性前庭综合征，未特指的
AB33,耳硬化症
AB34.0,特发性双侧前庭病
AB34.1,其他周围性眩晕
AB34.Y,其他特指的前庭功能疾患
AB34.Z,前庭功能疾患，未特指的
AB35,迷路瘘
AB36,迷路功能障碍
AB37,噪声对内耳的影响
AB3Y,其他特指的内耳疾病
AB3Z,内耳疾病，未特指的
AB50.0,先天性传导性听力损失
AB50.1,先天性感音神经性听力损失
AB50.2,先天性混合性听力损失
AB50.Y,其他特指的先天性听力障碍
AB50.Z,先天性听力障碍，未特指的
AB51.0,获得性传导性听力损失
AB51.1,获得性感音神经性听力损失
AB51.2,获得性混合性听力损失
AB51.Y,其他特指的获得性听觉障碍
AB51.Z,获得性听觉障碍，未特指的
AB52,聋，其他方面未特指
AB53,耳毒性听觉损失
AB54,老年性聋
AB55,突发特发性听觉损失
AB56,遗传性聋
AB57,听觉突触或神经病变
AB5Y,其他特指的听力障碍疾患
AB5Z,听力障碍疾患，未特指的
AB70.0,耳漏
AB70.1,耳出血
AB70.2,耳痛
AB71,耳的退行性或血管性疾患
AB72.0,听神经炎
AB72.Y,其他特指的听神经疾患
AB72.Z,听神经疾患，未特指的
AB73,耳萎缩
AB7Y,"其他特指的耳的疾患, 不可归类在他处者"
AB90,乳突切除术后乳突腔胆脂瘤复发
AB91,乳突切除术后乳突腔黏膜囊肿
AB92,乳突切除术后乳突腔肉芽
AB93,乳突切除术后慢性乳突炎
AC0Y,其他特指的耳或乳突疾病
AC0Z,耳或乳突疾病，未特指的
BA00.0,舒张期高血压合并收缩期高血压
BA00.1,单纯舒张期高血压
BA00.2,单纯收缩期高血压
BA00.Y,其他特指的原发性高血压
BA00.Z,原发性高血压，未特指的
BA01,高血压性心脏病
BA02,高血压性肾病
BA03,高血压危象
BA04,继发性高血压
BA20,特发性低血压
BA21,直立性低血压
BA2Y,其他特指的低血压
BA2Z,低血压，未特指的
BA40.0,不稳定性心绞痛
BA40.1,稳定型心绞痛
BA40.Y,其他特指的心绞痛
BA40.Z,心绞痛，未特指的
BA41.0,急性ST段抬高型心肌梗死
BA41.1,急性非ST段抬高型心肌梗死
BA41.Z,急性心肌梗死，未特指的
BA42.0,随后的心肌梗死，ST段抬高性
BA42.1,随后的心肌梗死，非ST段抬高型
BA42.Z,随后的心肌梗死，未特指的
BA43,冠状动脉血栓形成，未导致心肌梗死
BA4Z,急性缺血性心脏病，未特指的
BA50,陈旧性心肌梗死
BA51,缺血性心肌病
BA5Z,慢性缺血性心脏病，未特指的
BA60.0,Dressler综合征
BA60.1,其他心包炎作为急性心肌梗死后的近期并发症
BA60.2,室壁瘤作为急性心肌梗死的近期并发症
BA60.3,室间隔穿孔作为急性心肌梗死后的近期并发症
BA60.4,心脏破裂作为急性心肌梗死后的近期并发症
BA60.5,肺栓塞作为急性心肌梗死后的近期并发症
BA60.6,乳头肌或腱索断裂作为急性心肌梗死后的早期并发症
BA60.7,附壁血栓作为急性心肌梗死后的近期并发症
BA60.8,心律失常作为急性心肌梗死后的近期并发症
BA60.9,与机械性并发症无关的心源性休克，作为急性心肌梗死后的近期并发证
BA60.Y,急性心肌梗死后的其他特指的近期并发症
BA60.Z,急性心肌梗死后近期并发症，未特指的
BA6Z,缺血性心脏病，未特指的
BA80.0,自身冠状动脉粥样硬化
BA80.1,自体旁路移植术的冠状动脉粥样硬化
BA80.2,非自体旁路移植术的冠状动脉粥样硬化
BA80.Z,"冠状动脉粥样硬化,未特指部位"
BA81.0,冠状动脉瘤伴穿孔
BA81.1,冠状动脉瘤破裂
BA81.2,冠状动脉瘤未提及穿孔或破裂
BA82,冠状动脉夹层
BA83,冠状动脉瘘，获得性
BA84,慢性冠状动脉全闭塞
BA85.0,无症状冠状血管痉挛性疾病
BA85.Y,其他特指的冠状血管痉挛性疾病
BA85.Z,冠状血管痉挛性疾病，未特指的
BA86,冠状动脉微血管病
BA8Y,其他特指的冠心病
BA8Z,冠心病，未特指的
BB00.0,急性肺血栓栓塞症
BB00.1,慢性肺血栓栓塞症
BB00.Z,肺血栓栓塞，未特指的
BB01.0,肺动脉高压
BB01.1,左心疾病引起的肺高压
BB01.2,肺部疾病或低氧引起的肺高压
BB01.3,慢性血栓栓塞性肺高压
BB01.4,多种机制引起肺高压
BB01.5,肺源性心脏病
BB01.Z,肺动脉高压，未特指的
BB02.0,肺血管动静脉瘘
BB02.10,肺动脉瘤伴穿孔
BB02.11,肺动脉瘤伴破裂
BB02.12,肺动脉瘤未提及穿孔或破裂
BB02.1Y,其他特指的肺动脉瘤
BB02.1Z,肺动脉瘤，未特指的
BB02.2,肺血管破裂
BB02.30,操作后肺动脉干狭窄
BB02.3Y,其他特指的获得性肺动脉树异常
BB02.3Z,获得性肺动脉树异常，未特指的
BB03.0,获得性肺静脉梗阻
BB03.Y,其他特指的获得性肺静脉异常
BB03.Z,获得性肺静脉异常，未特指的
BB0Y,其他特指的肺源性心脏病或肺循环疾病
BB0Z,肺源性心脏病或肺循环疾病，未特指的
BB20.0,感染性心包炎
BB20.1,肿瘤性心包炎
BB20.2,心肌心包炎
BB20.Y,其他特指的急性心包炎
BB20.Z,急性心包炎，未特指的
BB21,慢性风湿性心包炎
BB22,缩窄性心包炎
BB23,心包填塞
BB24,心包积血
BB25,心包积液
BB2Y,其他特指的心包炎
BB2Z,心包炎，未特指的
BB40,急性或亚急性感染性心内膜炎
BB41,心内膜心肌炎
BB42,心内膜心包炎
BB4Y,其他特指的急性或亚急性心内膜炎
BB4Z,急性或亚急性心内膜炎，未特指的
BB60.0,风湿性二尖瓣狭窄
BB60.1,非风湿性二尖（瓣）狭窄
BB60.Z,二尖瓣狭窄，未特指的
BB61.0,风湿性二尖瓣关闭不全
BB61.Y,其他特指的二尖瓣关闭不全
BB61.Z,二尖瓣关闭不全，未特指的
BB62.0,风湿性二尖瓣脱垂
BB62.1,退行性二尖瓣脱垂
BB62.Y,其他特指的风湿性二尖瓣脱垂
BB62.Z,二尖瓣脱垂，未特指的
BB63.0,风湿性二尖瓣狭窄伴关闭不全
BB63.1,非风湿性二尖瓣狭窄伴关闭不全 
BB63.Z,二尖瓣狭窄伴关闭不全，未特指的
BB64,二尖瓣脓肿
BB65,二尖瓣破裂
BB6Y,其他特指的二尖瓣疾病
BB6Z,二尖瓣疾病，未特指的
BB70.0,风湿性主动脉瓣狭窄
BB70.1,非风湿性主动脉瓣狭窄
BB70.Z,主动脉瓣狭窄，未特指的
BB71.0,风湿性主动脉瓣关闭不全
BB71.Y,其他特指的风湿性主动脉瓣关闭不全
BB71.Z,主动脉瓣关闭不全，未特指的
BB72.0,风湿性主动脉瓣狭窄伴关闭不全
BB72.1,非风湿性主动脉瓣狭窄伴关闭不全
BB72.Z,主动脉瓣狭窄伴关闭不全，未特指的
BB73,主动脉瓣脓肿
BB74,主动脉瓣脱垂
BB7Y,其他特指的主动脉瓣疾病
BB7Z,主动脉瓣疾病，未特指的
BB80.0,风湿性三尖瓣狭窄
BB80.Y,其他特指的非风湿性三尖瓣狭窄
BB80.Z,三尖瓣狭窄，未特指的
BB81.0,三尖瓣关闭不全
BB81.Y,其他特指的三尖瓣关闭不全
BB81.Z,三尖瓣关闭不全，未特指的
BB82.0,风湿性三尖瓣狭窄伴关闭不全
BB82.Y,其他特指的非风湿性三尖瓣狭窄伴关闭不全
BB82.Z,三尖瓣狭窄伴关闭不全，未特指的
BB83,三尖瓣脓肿
BB84,三尖瓣破裂
BB8Y,其他特指的三尖瓣疾病
BB8Z,三尖瓣疾病，未特指的
BB90.0,风湿性肺动脉瓣狭窄
BB90.Y,其他特指的非风湿性肺动脉瓣狭窄
BB90.Z,肺动脉瓣狭窄，未特指的
BB91.0,风湿性肺动脉瓣关闭不全
BB91.Y,其他特指的风湿性肺动脉瓣关闭不全
BB91.Z,肺动脉瓣关闭不全，未特指的
BB92.0,风湿性肺动脉瓣狭窄伴关闭不全
BB92.1,非风湿性肺动脉瓣狭窄伴关闭不全
BB92.Z,肺动脉瓣狭窄伴关闭不全，未特指的
BB93,肺动脉瓣脓肿
BB9Y,其他特指的肺动脉瓣疾病
BB9Z,肺动脉瓣疾病，未特指的
BC00,多瓣膜疾病
BC01,人工瓣膜病
BC0Z,心脏瓣膜病，未特指的
BC20.0,"风湿性心内膜疾病, 瓣膜未特指"
BC20.1,"风湿性心脏病, 未特指"
BC20.Y,其他特指的慢性风湿性心脏病
BC20.Z,未特指得慢性风湿性心脏病
BC40.0,获得性心房间交通
BC40.Y,其他特指的获得性心房异常
BC40.Z,获得性心房异常，未特指的
BC41.0,获得性心室间交通
BC41.Y,其他特指的获得性心室异常
BC41.Z,获得性心室异常，未特指的
BC42.0,巨细胞心肌炎
BC42.1,感染性心肌炎
BC42.2,过敏心肌炎
BC42.30,风湿性心肌病
BC42.3Y,其他特指的风湿性心肌炎
BC42.3Z,风湿性心肌炎，未特指的
BC42.Y,其他特定的心肌炎
BC42.Z,心肌炎，未特指的
BC43.00,家族遗传性扩张型心肌病
BC43.01,非家族性扩张型心肌病
BC43.0Z,扩张型心肌病，未特指的
BC43.10,家族性遗传性肥厚型心肌病
BC43.11,非梗阻性肥厚型心肌病
BC43.12,梗阻性肥厚型心肌病
BC43.1Y,其他特指的肥厚型心肌病
BC43.1Z,肥厚型心肌病，未特指的
BC43.20,非家族性限制型心肌病
BC43.2Y,其他特指的限制型心肌病
BC43.2Z,限制型心肌病，未特指的
BC43.3,心内膜弹力纤维增生症
BC43.4,药物或其他外部物质引起的心肌病
BC43.5,应激性心肌病
BC43.6,致心律失常性心肌病
BC43.7,糖尿病性心肌病
BC43.Y,其他特指的心肌病
BC43.Z,心肌病，未特指的
BC44,致密化不全心肌病
BC45,心脏肥大
BC46,"心内血栓形成, 不可归类在他处者"
BC4Y,其他特指的心肌或心腔疾病
BC4Z,心肌或心腔疾病，未特指的
BC60,心房过早除极
BC61,交界性过早除极
BC62,心脏旁道
BC63.0,"房室传导阻滞, 一度"
BC63.10,高度-2度房室传导阻滞
BC63.1Y,"其他特指的房室传导阻滞, 二度"
BC63.1Z,"未特指的房室传导阻滞, 二度"
BC63.20,先天性完全性房室传导阻滞
BC63.21,获得性完全性房室传导阻滞
BC63.2Z,完全性房室传导阻滞，未特指的
BC63.3,右束支传导阻滞
BC63.40,左前分支阻滞
BC63.41,左后分支阻滞
BC63.4Z,左束支传导阻滞，未特指束
BC63.5,非特异性室内传导延缓
BC63.Y,其他特指的传导疾患
BC63.Z,传导疾患，未特指的
BC64,心律失常性猝死综合征
BC65.0,长QT综合征
BC65.1,Brugada综合征
BC65.2,短QT综合征
BC65.3,早期复极综合征
BC65.4,特发性心室纤颤
BC65.5,儿茶酚胺源性多形性室性心动过速
BC65.Y,其他特指的与遗传疾病相关的心律失常
BC65.Z,与遗传疾病相关的心律失常，未特指的
BC70,心室过早除极
BC71.00,右室流出道室性心动过速
BC71.01,多形性室性心动过速
BC71.02,持续性室性心动过速
BC71.03,非持续性室性心动过速
BC71.0Y,其他特指的室性心动过速
BC71.0Z,室性心动过速，未特指的
BC71.1,心室纤颤
BC71.2,折返性室性心律失常
BC71.Y,其他特指的快速室性心律失常
BC71.Z,快速室性心律失常，未特指的
BC7Y,其他特指的室性心律失常
BC7Z,室性心律失常，未特指的
BC80.0,窦性停搏
BC80.1,窦性心动过缓
BC80.20,病态窦房结综合征
BC80.21,窦房传导阻滞
BC80.2Y,其他特指的窦房结功能障碍
BC80.2Z,窦房结功能障碍，未特指的
BC80.Y,其他特指的室上性缓慢性心律失常
BC80.Z,室上性缓慢性心律失常，未特指的
BC81.0,异位性房性心动过速
BC81.1,交界性异位性心动过速
BC81.20,三尖瓣峡部依赖性大折返性心动过速
BC81.21,非疤痕性、非峡部依赖性大折返性房性心动过速
BC81.22,疤痕介导性大折返房性心动过速
BC81.2Y,其他特指的大折返房性心动过速
BC81.2Z,大折返房性心动过速，未特指的
BC81.30,阵发性心房颤动
BC81.31,持续性心房颤动
BC81.32,永久性心房颤动
BC81.33,预激性心房颤动
BC81.3Y,其他特指的心房颤动
BC81.3Z,心房颤动，未特指的
BC81.4,预激综合征（WPW综合征）
BC81.5,窦房结折返性心动过速
BC81.6,不适当的窦性心动过速
BC81.70,顺向型房室折返性心动过速
BC81.71,逆向型房室折返性心动过速
BC81.7Y,其他特指的房室折返性心动过速
BC81.7Z,房室折返性心动过速，未特指的
BC81.8,房室结折返性心动过速
BC81.Y,其他特指的室上性快速心律失常
BC81.Z,室上性快速心律失常，未特指的
BC8Y,其他特指的室上性心律失常
BC8Z,室上性心律失常，未特指的
BC90,房室交界区的心律失常
BC91,心脏起搏器或植入式心脏复律除颤器电池耗竭
BC9Y,其他特指的心律失常
BC9Z,心律失常，未特指的
BD10.0,双心室衰竭
BD10.Y,其他特指的充血性心力衰竭
BD10.Z,充血性心力衰竭，未特指的
BD11.0,射血分数保留的左心室衰竭
BD11.1,射血分数中间范围的心力衰竭
BD11.2,射血分数减低的左心室衰竭
BD11.Z,左心室衰竭，未特指的
BD12,高输出综合征
BD13,右心室衰竭
BD1Y,其他特指的心力衰竭
BD1Z,心力衰竭，未特指的
BD30.00,急性上肢动脉血栓栓塞性闭塞
BD30.01,急性血栓形成性上肢动脉闭塞
BD30.0Y,其他特指的急性上肢动脉闭塞
BD30.0Z,急性上肢动脉闭塞，未特指的
BD30.10,急性主髂动脉血栓栓塞性闭塞
BD30.11,急性血栓形成性主髂动脉闭塞
BD30.1Y,其他特指的急性主髂动脉闭塞
BD30.1Z,急性主髂动脉闭塞，未特指的
BD30.20,急性下肢动脉血栓栓塞性闭塞
BD30.21,急性血栓形成性下肢动脉闭塞
BD30.2Y,其他特指的急性下肢动脉闭塞
BD30.2Z,急性下肢动脉闭塞，未特指的
BD30.Y,其他特指的急性动脉闭塞
BD30.Z,急性动脉闭塞，未特指的
BD40.00,下肢动脉粥样硬化伴间歇性跛行
BD40.0Y,其他特指的下肢动脉粥样硬化
BD40.0Z,下肢动脉粥样硬化，未特指的
BD40.1,主动脉粥样硬化
BD40.2,肾动脉的动脉粥样硬化
BD40.3,主动脉分叉综合征
BD40.Y,其他特指的动脉粥样硬化性慢性动脉闭塞性疾病
BD40.Z,动脉粥样硬化性慢性动脉闭塞性疾病，未特指的
BD41.0,动脉纤维肌性发育不良
BD41.Y,其他特指的非动脉粥样硬化性慢性动脉闭塞性疾病
BD41.Z,非动脉粥样硬化性慢性动脉闭塞性疾病，未特指的
BD42.0,原发性雷诺病
BD42.1,继发性雷诺现象
BD42.Z,雷诺现象，未特指的
BD4Y,其他特指的慢性动脉阻塞性疾病
BD4Z,慢性动脉阻塞性疾病，未特指的
BD50.00,胸、升主动脉壁夹层形成及越过主动脉弓伴穿孔
BD50.01,胸、升主动脉壁夹层形成及越过主动脉弓伴破裂
BD50.02,胸、升主动脉壁夹层形成及越过主动脉弓未提及穿孔或破裂
BD50.0Y,其他特指的胸、升主动脉壁夹层形成及越过主动脉弓
BD50.0Z,未特指的胸、升主动脉壁夹层形成及越过主动脉弓
BD50.10,升主动脉壁夹层形成未越过主动脉弓伴穿孔
BD50.11,升主动脉壁夹层形成未越过主动脉弓伴破裂
BD50.12,升主动脉壁夹层形成未越过主动脉弓未提及穿孔或破裂
BD50.1Y,其他特指的升主动脉壁夹层形成未越过主动脉弓
BD50.1Z,升主动脉壁夹层形成未越过主动脉弓，未特指的
BD50.20,升主动脉壁夹层形成波及远端伴穿孔
BD50.21,升主动脉壁夹层形成波及远端伴破裂
BD50.22,升主动脉壁夹层形成波及远端未提及穿孔或破裂
BD50.2Y,其他特指的升主动脉壁夹层形成波及远端
BD50.2Z,升主动脉壁夹层形成波及远端，未特指的
BD50.30,胸主动脉动脉瘤伴穿孔
BD50.31,胸主动脉动脉瘤伴破裂
BD50.32,胸主动脉动脉瘤未提及穿孔或破裂
BD50.3Y,其他特指的胸主动脉动脉瘤
BD50.3Z,胸主动脉动脉瘤，未特指的
BD50.40,腹主动脉瘤穿孔
BD50.41,腹主动脉瘤破裂
BD50.4Y,其他特指的腹主动脉瘤
BD50.4Z,腹主动脉瘤，未特指的
BD50.50,胸腹主动脉动脉瘤伴穿孔
BD50.51,胸腹主动脉动脉瘤破裂
BD50.52,胸腹主动脉动脉瘤未提及穿孔或破裂
BD50.5Y,其他特指的胸腹主动脉动脉瘤
BD50.5Z,胸腹主动脉动脉瘤，未特指的
BD50.Z,主动脉瘤或主动脉壁夹层形成，未特指的
BD51.0,颈动脉瘤或颈动脉夹层
BD51.1,椎动脉动脉瘤或动脉夹层
BD51.2,其他入脑前动脉动脉瘤或动脉夹层
BD51.3,上肢动脉瘤或动脉夹层
BD51.4,肾动脉瘤或夹层
BD51.5,髂动脉瘤或夹层
BD51.6,下肢动脉瘤或夹层
BD51.Y,其他动脉瘤或夹层，除外主动脉
BD51.Z,未特指的动脉瘤或夹层
BD52.0,节段性动脉中层裂解
BD52.1,"动静脉瘘, 获得性"
BD52.2,动脉狭窄
BD52.3,动脉破裂
BD52.4,动脉坏死
BD52.5,腹腔动脉压迫综合征
BD52.Y,其他特指的动脉或小动脉疾病
BD52.Z,某些特指的动脉或小动脉疾病，未特指的
BD53.0,动脉囊性中层病变
BD53.1,小鱼际锤打综合征
BD53.2,髂动脉病
BD53.3,腘动脉受压综合征
BD53.Y,其他特指的继发性动脉和小动脉疾患
BD53.Z,继发性动脉和小动脉疾患，未特指的
BD54,糖尿病足部溃疡
BD55,颅内或颅外动脉无症状狭窄
BD56,颅内或颅外动脉无症状闭塞
BD57,皮肤胆固醇粥样硬化栓塞
BD5Y,其他特指的动脉或小动脉疾病
BD5Z,动脉或小动脉疾病，未特指的
BD70.0,下肢浅表血栓性静脉炎
BD70.1,上肢浅静脉血栓性静脉炎
BD70.2,移动性血栓静脉炎
BD70.3,胸腹壁血栓性静脉炎
BD70.Y,其他特指的浅表血栓性静脉炎
BD70.Z,浅表血栓性静脉炎，未特指的
BD71.0,上肢深静脉血栓形成
BD71.1,腔静脉血栓形成
BD71.2,肾静脉血栓形成
BD71.3,髂静脉血栓形成
BD71.4,下肢深静脉血栓形成
BD71.Y,其他特指的深静脉血栓形成
BD72,静脉血栓栓塞
BD73.0,获得性下腔静脉异常
BD73.1,获得性上腔静脉异常
BD73.20,外周静脉阻塞
BD73.21,内脏静脉阻塞
BD73.2Y,其他特指的体静脉阻塞
BD73.2Z,体静脉阻塞，非特指的
BD73.3,获得性冠状静脉窦异常
BD73.Y,其他特指的获得性体静脉异常
BD73.Z,获得性体静脉异常，非特指的
BD74.0,无并发症的下肢静脉高压
BD74.10,大隐静脉曲张伴回流
BD74.11,小隐静脉曲张伴回流
BD74.12,不伴反流的静脉曲张；单纯性静脉曲张
BD74.1Z,下肢静脉曲张，未进一步特指
BD74.2,脂性硬皮病
BD74.30,原发性下肢静脉性溃疡
BD74.31,复发性下肢静脉性溃疡
BD74.32,下肢静脉性溃疡愈合
BD74.3Z,腿部静脉性溃疡，非特指的
BD74.Z,慢性下肢外周静脉功能不全，非特指的
BD75.0,舌下静脉曲张
BD75.1,阴囊静脉曲张
BD75.2,外阴静脉曲张
BD75.3,盆腔静脉曲张
BD75.Y,其他特指部位的静脉曲张
BD75.Z,未特指部位的静脉曲张
BD7Y,其他特指的静脉疾病
BD7Z,静脉疾病，未特指的
BD90.0,急性淋巴结炎
BD90.1,非特异性肠系膜淋巴结炎
BD90.20,慢性颈淋巴结炎
BD90.21,慢性腋窝淋巴结炎
BD90.22,慢性腹股沟淋巴结炎
BD90.2Y,其他特指的慢性淋巴结炎
BD90.2Z,慢性淋巴结炎，未特指的
BD90.Y,其他特指的淋巴结炎
BD90.Z,淋巴结炎，未特指的
BD91,淋巴管炎
BD92.0,肠淋巴管扩张
BD92.1,皮肤淋巴管扩张
BD93.0,原发性淋巴水肿
BD93.10,静脉功能不全所致淋巴水肿
BD93.11,依赖性和不活动性淋巴水肿
BD93.12,肥胖引起的淋巴水肿
BD93.13,淋巴丝虫病淋巴水肿
BD93.14,足周病致淋巴水肿
BD93.15,恶性浸润性淋巴肿
BD93.1Y,继发于其他特指原因的淋巴水肿
BD93.1Z,继发性淋巴水肿，未特指的
BD93.Y,其他特指类型的淋巴水肿
BD93.Z,淋巴水肿，未特指的
BD9Y,其他特指的淋巴管或淋巴结疾患
BD9Z,淋巴管或淋巴结疾患，未特指的
BE10,心脏切开术后综合征
BE11,心外科手术后的其他功能性障碍
